S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
397,2019-02-10,3,115,154460,1364,1340,1340
398,2019-02-06,2,20,27260,1390,1363,1363
399,2019-02-04,1,10,13900,1390,1370,1390
400,2019-01-31,4,105,144005,1377,1350,1370
401,2019-01-30,1,50,67500,1356,1350,1350
402,2019-01-29,3,220,297540,1356,1304,1356
403,2019-01-28,2,50,66530,1356,1330,1330
404,2019-01-22,2,60,81100,1357,1330,1356
405,2019-01-20,1,20,27140,1384,1357,1357
406,2019-01-17,3,300,415460,1397,1370,1384
407,2019-01-16,6,240,333160,1409,1362,1370
408,2019-01-15,7,310,422700,1389,1362,1362
409,2019-01-10,3,90,125060,1414,1389,1389
410,2019-01-09,4,50,70710,1442,1360,1414
411,2019-01-08,7,630,844510,1376,1335,1360
412,2019-01-07,3,40,55330,1403,1376,1376
413,2019-01-06,2,20,28340,1460,1403,1403
